SiO2,Al2O3,Fe2O3,CaO,Na2O,K2O,MgO,SO3,mid,pii_tid,label,total
48.8,26.8,7.4,4.6,0.67,3.6,1.9,0.0,S0008884600001988_0_1_3_0_FA-A,S0008884600001988_0,[0],93.77
45.2,25.3,9.1,6.7,0.48,3.2,1.7,0.0,S0008884600001988_0_2_3_0_FA-B,S0008884600001988_0,[0],91.68
26.8,14.7,3.6,49.3,0.3,1.1,1.3,0.6,S0008884600001988_0_3_3_0_FABC-A,S0008884600001988_0,[0],97.7
26.7,16.4,4.6,47.4,0.2,0.98,1.3,0.6,S0008884600001988_0_4_3_0_FABC-B,S0008884600001988_0,[0],98.18
21.17,5.34,2.28,63.92,0.47,0.0,3.91,2.32,S0008884600002003_1_1_1_0_Type I cement,S0008884600002003_1,[],99.41
37.31,8.36,0.45,38.85,0.26,0.41,10.59,2.85,S0008884600002003_1_1_2_0_Slag,S0008884600002003_1,[2],99.08
63.29,18.29,4.32,4.46,0.75,2.18,0.72,0.1,S0008884600002027_0_1_1_0_Tile (%),S0008884600002027_0,[],94.11
20.52,5.46,3.64,65.04,0.17,0.68,1.35,2.18,S0008884600002027_0_1_2_0_Cement (%),S0008884600002027_0,[],99.04000000000002
21.02,5.16,4.08,62.58,0.0,0.0,2.24,1.14,S0008884600002088_0_1_1_0_Clinker,S0008884600002088_0,[],96.22
32.9,11.39,5.28,38.47,0.0,0.0,6.62,0.35,S0008884600002088_0_2_1_0_Slag,S0008884600002088_0,[2],95.01
2.96,0.41,0.38,29.38,0.0,0.0,1.43,37.24,S0008884600002088_0_3_1_0_Gypsum,S0008884600002088_0,[],71.8
47.5,13.1,2.3,0.85,0.0,0.0,0.4,15.74,S0008884600002088_0_4_1_0_Alunite (A),S0008884600002088_0,[],79.89
0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.49,S0008884600002088_0_5_1_0_Mirabilite (N),S0008884600002088_0,[],53.49
0.0,0.0,0.0,38.7,0.0,0.0,0.0,45.1,S0008884600002088_0_6_1_0_Calcined gypsum (G),S0008884600002088_0,[],83.80000000000001
0.0,0.0,0.0,31.09,0.29,0.0,0.0,43.21,S000888460000209X_0_1_1_0,S000888460000209X_0,[],74.59
34.73,13.67,0.31,40.3,0.08,0.28,7.46,0.0,S0008884600002155_3_10_1_0_Test result,S0008884600002155_3,[],96.82999999999998
31.6,4.89,0.0,51.54,0.0,0.0,0.0,0.0,S0008884600002295_0_1_2_0,S0008884600002295_0,[],88.03
21.6,4.2,3.0,62.8,0.41,0.41,3.1,2.5,S0008884600002349_0_1_1_0,S0008884600002349_0,[],98.01999999999998
35.3,9.9,0.6,34.7,0.3,0.4,14.6,4.0,S0008884600002349_0_1_2_0,S0008884600002349_0,[],99.8
46.9,25.4,8.2,3.7,0.3,1.7,1.0,0.9,S0008884600002349_0_1_3_0,S0008884600002349_0,[],88.10000000000001
4.5,41.2,11.3,39.8,0.1,0.1,0.6,0.0,S0008884600002349_0_1_4_0,S0008884600002349_0,[],97.59999999999998
0.3,0.01,0.1,33.5,0.01,0.02,0.5,45.2,S0008884600002349_0_1_7_0,S0008884600002349_0,[],79.64
21.3,5.3,2.6,64.4,0.0,0.0,2.2,1.9,S0008884600002362_0_2_5_0,S0008884600002362_0,[],97.70000000000002
0.7,0.2,0.1,55.2,0.0,0.0,0.4,0.0,S0008884600002362_0_7_5_0,S0008884600002362_0,[],56.6
20.6,5.7,2.1,65.0,0.0,0.0,0.0,3.3,S0008884600002453_0_1_0_0,S0008884600002453_0,[],96.7
54.83,19.05,6.0,9.39,0.5,0.0,0.0,2.9,S0008884600002453_2_1_1_0_B,S0008884600002453_2,[],92.67
69.99,10.62,4.02,8.86,1.02,0.0,0.0,0.038,S0008884600002453_2_2_1_0_D,S0008884600002453_2,[],94.548
68.79,15.23,6.28,1.79,0.26,0.0,0.0,0.127,S0008884600002453_2_3_1_0_L,S0008884600002453_2,[],92.47700000000002
72.75,15.89,4.97,0.87,0.27,0.0,0.0,0.07,S0008884600002453_2_4_1_0_P,S0008884600002453_2,[],94.82
58.02,15.28,6.26,8.07,0.71,0.0,0.0,0.139,S0008884600002453_2_5_1_0_L1,S0008884600002453_2,[],88.47899999999998
24.36,5.4,3.63,62.48,0.33,0.92,2.44,0.14,S0008884600002507_0_1_1_0,S0008884600002507_0,[],99.7
57.57,21.91,9.56,3.87,1.54,2.51,1.68,0.41,S0008884600002507_0_2_1_0,S0008884600002507_0,[],99.05000000000004
33.56,11.4,0.33,40.39,0.57,0.57,11.2,0.0,S0008884600002507_0_3_1_0,S0008884600002507_0,[],98.02
21.39,3.74,3.96,65.43,0.06,0.33,1.4,1.95,S0008884600002568_0_1_1_0_C1,S0008884600002568_0,[],98.26000000000002
21.53,3.52,4.11,63.69,0.1,0.56,2.18,2.85,S0008884600002568_0_1_2_0_C2,S0008884600002568_0,[],98.54
20.39,5.02,2.2,62.3,0.22,1.05,2.49,2.9,S0008884600002568_0_1_3_0_C3,S0008884600002568_0,[],96.57
21.0,4.2,3.1,61.5,0.21,0.8,2.6,3.4,S0008884600002568_0_1_4_0_C4,S0008884600002568_0,[],96.81
19.93,4.76,3.23,64.95,0.18,0.25,1.37,2.67,S0008884600002568_0_1_5_0_C5,S0008884600002568_0,[],97.34000000000002
21.14,5.23,2.04,64.6,0.18,0.21,2.75,2.95,S0008884600002568_0_1_6_0_C6,S0008884600002568_0,[],99.1
19.76,3.16,0.4,60.02,0.0,0.0,3.28,0.0,S0008884600002581_0_2_2_0,S0008884600002581_0,[],86.62
20.8,5.1,2.9,62.2,0.3,0.7,2.9,2.7,S0008884600002611_0_1_0_0,S0008884600002611_0,[],97.6
1.17,0.36,0.07,32.68,0.04,0.02,0.07,42.28,S0008884600002623_0_1_1_0_PG,S0008884600002623_0,[],76.69
23.65,5.86,3.36,13.64,0.75,3.03,7.73,1.1,S0008884600002623_0_2_1_0_OS,S0008884600002623_0,[],59.12
51.74,13.92,3.77,12.81,0.17,2.62,0.35,0.16,S0008884600002623_0_3_1_0_KC,S0008884600002623_0,[],85.53999999999999
0.0,5.43,0.0,61.34,0.15,1.04,1.51,3.08,S0008884600002659_1_2_2_0_1.92,S0008884600002659_1,[],72.55000000000003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0008884600002659_3_12_1_0_9,S0008884600002659_3,[],0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0008884600002659_3_13_1_0_10,S0008884600002659_3,[],0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0008884600002659_3_14_1_0_11,S0008884600002659_3,[],0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0008884600002659_3_15_1_0_12,S0008884600002659_3,[],0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0008884600002659_3_2_1_0_1,S0008884600002659_3,[],0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0008884600002659_3_3_1_0_2,S0008884600002659_3,[],0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0008884600002659_3_5_1_0_4,S0008884600002659_3,[],0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0008884600002659_3_6_1_0_5,S0008884600002659_3,[],0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0008884600002659_3_7_1_0_6,S0008884600002659_3,[],0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0008884600002659_3_8_1_0_7,S0008884600002659_3,[],0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0008884600002659_3_9_1_0_8,S0008884600002659_3,[],0.0
21.4,5.57,2.81,65.38,0.2,0.83,1.95,0.57,S000888460000274X_0_1_1_0_Raw material,S000888460000274X_0,[],98.71
21.84,5.32,2.59,64.74,0.26,0.74,2.0,0.87,S000888460000274X_0_2_1_0_Clinker from the SBK,S000888460000274X_0,[],98.36
22.07,5.5,2.61,64.89,0.22,0.52,2.01,0.69,S000888460000274X_0_3_1_0_Clinker from the FBQ,S000888460000274X_0,[],98.51
15.52,13.08,0.0,50.33,0.03,0.05,0.0,14.21,S0008884600002775_0_2_2_0,S0008884600002775_0,[],93.22
44.29,20.96,5.23,17.51,1.13,0.84,4.21,2.13,S0008884600002830_0_10_1_0_C1,S0008884600002830_0,[],96.3
32.71,19.02,5.76,18.85,8.28,0.68,4.3,4.81,S0008884600002830_0_12_1_0_BR,S0008884600002830_0,[],94.41
38.42,20.57,5.64,20.5,2.64,0.62,4.39,1.76,S0008884600002830_0_13_1_0_PI,S0008884600002830_0,[],94.54
39.83,19.56,5.54,21.53,1.55,0.6,4.62,2.14,S0008884600002830_0_14_1_0_C2,S0008884600002830_0,[],95.37
